conv_clarity_score,conv_actionability_score,conv_alignment_score,collab_clarity_score,collab_actionability_score,collab_alignment_score,collab_feasibility_score,collab_novelty_score,collab_factual_grounding,CQS_collab_eq4,CQS_conv_eq4,CQS_extended,condition,model,pair_id,pair_domain,run_idx,strategy,api_success,collab_goal
8.687,7.081,9.02,6.5,6.5,8.223,6.4,10.0,6.375,6.8446,8.1112,6.8246,Strong LLM (direct),Qwen2.5-3B,G06F16-H04W12,Data/Comm-Centric,0,Consensus-Driven,True,Development of secure and efficient database technologies for wireless network environments
8.687,7.081,9.02,6.5,6.5,8.142,6.4,10.0,7.5,6.8284,8.1112,6.8084,Strong LLM (CoT),Qwen2.5-3B,G06F16-H04W12,Data/Comm-Centric,0,Consensus-Driven,True,improve data retrieval and secure wireless networks through advanced technologies
8.134,7.301,9.182,6.5,7.445,8.36,7.102,10.0,6.375,7.25,8.0104,7.2759,Strong LLM (direct),Qwen2.5-3B,B60R21-B60R23,Vehicle-Centric,0,Consensus-Driven,True,Development of advanced occupant safety systems using vehicle camera technology for enhanced visibility and airbag deployment accuracy.
8.134,7.301,9.182,6.5,6.5,8.205,6.4,10.0,5.25,6.841,8.0104,6.821,Strong LLM (CoT),Qwen2.5-3B,B60R21-B60R23,Vehicle-Centric,0,Consensus-Driven,True,Develop advanced safety and viewing technologies for vehicles
8.567,7.359,8.957,6.5,6.5,8.325,6.4,10.0,7.5,6.865,8.1618,6.845,Strong LLM (direct),Qwen2.5-3B,G08G5-H04L20,Cross-Industry,0,Consensus-Driven,True,Development of advanced air traffic control systems utilizing efficient broadcast data transmission protocols for improved safety and efficiency in aviation
8.567,7.359,8.957,6.5,6.5,8.35,6.31,10.0,7.5,6.87,8.1618,6.832,Strong LLM (CoT),Qwen2.5-3B,G08G5-H04L20,Cross-Industry,0,Consensus-Driven,True,Development of advanced air traffic control systems and efficient broadcast data transmission protocols
8.874,7.195,9.159,7.252,7.549,7.686,7.143,4.771,3.0,7.4576,8.2594,7.4061,Strong LLM (direct),Qwen2.5-3B,B60R23-G01S7,V2X,0,Consensus-Driven,True,
8.874,7.195,9.159,6.5,6.5,8.366,6.4,10.0,6.375,6.8732,8.2594,6.8532,Strong LLM (CoT),Qwen2.5-3B,B60R23-G01S7,V2X,0,Consensus-Driven,True,Develop advanced vehicle viewing arrangements and radar/LiDAR detection systems to enhance safety and efficiency in vehicular environments.
8.26,6.974,8.956,6.5,6.5,8.349,6.4,10.0,5.25,6.8698,7.8848,6.8498,Strong LLM (direct),Qwen2.5-3B,B61L25-G06Q50,Cross-Industry,0,Consensus-Driven,True,Development of integrated railway control systems with service management functionalities to enhance operational efficiency and passenger experience.
8.26,6.974,8.956,6.5,6.5,8.357,6.4,10.0,7.5,6.8714,7.8848,6.8514,Strong LLM (CoT),Qwen2.5-3B,B61L25-G06Q50,Cross-Industry,0,Consensus-Driven,True,Development of advanced railway control systems and service management systems to enhance efficiency and reduce operational barriers in transportation networks.
8.22,7.4,9.083,6.5,6.5,8.327,6.4,10.0,7.5,6.8654,8.0646,6.8454,Strong LLM (direct),Qwen2.5-3B,G07C5-H04M1,Data/Comm-Centric,0,Consensus-Driven,True,Development of advanced vehicle data recording systems integrated with telephonic communication solutions for enhanced safety and efficiency.
8.22,7.4,9.083,6.5,6.5,8.241,6.4,10.0,7.5,6.8482,8.0646,6.8282,Strong LLM (CoT),Qwen2.5-3B,G07C5-H04M1,Data/Comm-Centric,0,Consensus-Driven,True,Development of advanced vehicle data recording and telephonic communication technologies to enhance road safety.
